run_id,formal_index,case_code,source_curve_id,channel,valid_direction_count,first_radius_m,last_radius_m,clear_method,successful_clear_virtual_time_s,clear_x_m,clear_y_m,action_response_line
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch04,4,2,425.77317193833926,12.989206075400679,certified_region_circle,3378.881723,407.5562836445975,-1448.2471236255208,210
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch05,5,4,752.3129401216323,10.504123867418713,certified_region_circle,3888.457566,-874.0169297499892,-1038.2995712938093,226
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch06,6,2,493.03207557354256,13.708177717804011,certified_region_circle,3408.640955,290.83481075067283,-1406.9968308830744,212
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch07,7,4,751.4063357417957,5.077576552781716,certified_region_circle,2981.80203,1040.8760542359241,155.8052860844085,196
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch08,8,2,598.9648220873435,11.1493768407366,certified_region_circle,678.912761,-1262.3825655270707,593.9693883719859,80
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch09,9,2,751.0349292042854,16.22153557561834,certified_region_circle,314.528541,-787.7576188637616,-135.82755252527417,48
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch10,10,3,533.9728354758192,9.881666607391528,certified_region_circle,2121.749783,1555.731517396517,820.7708899230714,154
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch11,11,3,373.44585331019346,23.35939751934597,near_feedback,2551.11263,1693.3756931776911,-342.52775456352566,182
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch13,13,2,753.7898768377554,18.549445730922045,certified_region_circle,1675.534926,320.20387521390404,582.3277068435726,142
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch14,14,3,750.6589703156475,9.962229654552846,certified_region_circle,3598.885067,168.92059230477767,-836.8395311359429,218
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch15,15,2,753.7672417845963,14.680684219242698,certified_region_circle,350.946427,-651.8855216489279,-56.986814303937685,50
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch16,16,3,520.9667609806093,6.818733793164482,certified_region_circle,1934.288435,703.8643763163573,960.797655909063,150
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch17,17,5,711.7340839942296,11.914202975880348,certified_region_circle,1212.623527,597.5141274072548,1653.2549339824511,112
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch18,18,3,750.9118071122921,19.018415150602674,certified_region_circle,1601.394547,78.00736837784284,335.648453550785,140
windows_q3_final_002,2,VUK9-G6FH-ACSC-KFYG,Q3-2-ch19,19,2,753.8142255662309,32.37221189508102,near_feedback,2290.829636,1136.8817014028116,254.4112156231214,160
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch03,3,3,750.9169078024181,3.529728168977839,certified_region_circle,2209.184287,-328.9470282774472,814.0538167843398,192
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch04,4,2,633.7307627424858,16.988113101919698,certified_region_circle,1718.860957,90.72829855181827,1350.7735078002454,154
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch05,5,3,384.81817865445424,16.558248105300432,certified_region_circle,1617.592681,514.5506845190737,1578.9491221942758,152
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch06,6,2,665.9161057979818,21.381451733991916,near_feedback,1787.065445,-68.26511444554419,1421.9188953601667,160
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch08,8,4,750.5376341007495,13.709860119575726,certified_region_circle,842.259622,1250.1817650655514,-534.3702415297447,88
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch09,9,3,753.6331788852735,10.667739299415109,certified_region_circle,2914.805856,-1020.8394702342858,-1048.2729150758908,230
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch10,10,3,750.8669332487688,11.934053506735399,certified_region_circle,901.8161,1254.1520649087713,-261.6167440941122,90
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch11,11,2,586.1821816421187,58.93032567888223,near_feedback,2794.806929,-1347.9610902892643,-850.4172665208262,224
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch15,15,3,753.8623709589372,12.454881857853534,certified_region_circle,2384.696553,-389.94787963180573,199.75183361542054,198
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch16,16,2,752.7750524707016,13.609278673141835,certified_region_circle,1139.677508,707.6422799430511,-242.2079931230187,118
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch19,19,3,753.7463206308685,5.488749144044574,certified_region_circle,339.944007,147.05549346329644,-502.63313770764745,48
windows_q3_final_004,3,3BEW-YK5X-AE2M-SJND,Q3-3-ch20,20,2,752.3224644727031,51.55777384887166,near_feedback,2143.981752,-140.84562254624447,1000.0091653939973,188
